episode,step,state,action,reward,next_state,next_action,old_q,bootstrap_q,td_error_delta,active_traces_before_decay,trace_l1_before_decay,trace_l1_after_decay,eligibility_before_decay_json,eligibility_after_decay_json,current_trace_after_decay,lambda
0,1,"[1, 1, 0]",0,-4.75,"[1, 1, 0]",3,0.0,0.0,-4.75,1,1.0,0.6649999999999999,"[{""action"":0,""eligibility"":1.0,""state"":[1,1,0]}]","[{""action"":0,""eligibility"":0.6649999999999999,""state"":[1,1,0]}]",0.6649999999999999,0.7
0,2,"[1, 1, 0]",3,-0.5125000000000002,"[2, 1, 0]",3,0.0,0.0,-0.5125000000000002,2,1.665,1.107225,"[{""action"":0,""eligibility"":0.6649999999999999,""state"":[1,1,0]},{""action"":3,""eligibility"":1.0,""state"":[1,1,0]}]","[{""action"":0,""eligibility"":0.4422249999999999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.6649999999999999,""state"":[1,1,0]}]",0.6649999999999999,0.7
0,3,"[2, 1, 0]",3,-0.5249999999999995,"[2, 2, 0]",0,0.0,0.0,-0.5249999999999995,3,2.1072249999999997,1.4013046249999999,"[{""action"":0,""eligibility"":0.4422249999999999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.6649999999999999,""state"":[1,1,0]},{""action"":3,""eligibility"":1.0,""state"":[2,1,0]}]","[{""action"":0,""eligibility"":0.2940796249999999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.4422249999999999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.6649999999999999,""state"":[2,1,0]}]",0.6649999999999999,0.7
0,4,"[2, 2, 0]",0,-4.7749999999999995,"[2, 2, 0]",0,0.0,0.0,-4.7749999999999995,4,2.401304625,1.5968675756249997,"[{""action"":0,""eligibility"":0.2940796249999999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.4422249999999999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.6649999999999999,""state"":[2,1,0]},{""action"":0,""eligibility"":1.0,""state"":[2,2,0]}]","[{""action"":0,""eligibility"":0.1955629506249999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.2940796249999999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.4422249999999999,""state"":[2,1,0]},{""action"":0,""eligibility"":0.6649999999999999,""state"":[2,2,0]}]",0.6649999999999999,0.7
0,5,"[2, 2, 0]",0,-4.7749999999999995,"[2, 2, 0]",0,-0.573,-0.573,-4.74635,4,1.9318675756249997,1.2846919377906245,"[{""action"":0,""eligibility"":0.1955629506249999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.2940796249999999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.4422249999999999,""state"":[2,1,0]},{""action"":0,""eligibility"":1.0,""state"":[2,2,0]}]","[{""action"":0,""eligibility"":0.1300493621656249,""state"":[1,1,0]},{""action"":3,""eligibility"":0.1955629506249999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.2940796249999999,""state"":[2,1,0]},{""action"":0,""eligibility"":0.6649999999999999,""state"":[2,2,0]}]",0.6649999999999999,0.7
0,6,"[2, 2, 0]",0,-4.7749999999999995,"[2, 2, 0]",0,-1.1425619999999999,-1.1425619999999999,-4.7178719,4,1.6196919377906247,1.0770951386307654,"[{""action"":0,""eligibility"":0.1300493621656249,""state"":[1,1,0]},{""action"":3,""eligibility"":0.1955629506249999,""state"":[1,1,0]},{""action"":3,""eligibility"":0.2940796249999999,""state"":[2,1,0]},{""action"":0,""eligibility"":1.0,""state"":[2,2,0]}]","[{""action"":0,""eligibility"":0.08648282584014055,""state"":[1,1,0]},{""action"":3,""eligibility"":0.1300493621656249,""state"":[1,1,0]},{""action"":3,""eligibility"":0.1955629506249999,""state"":[2,1,0]},{""action"":0,""eligibility"":0.6649999999999999,""state"":[2,2,0]}]",0.6649999999999999,0.7
0,7,"[2, 2, 0]",0,-1.0125000000000002,"[2, 1, 0]",2,-1.7087066279999998,0.0,0.6962066279999997,4,1.4120951386307654,0.9390432671894589,"[{""action"":0,""eligibility"":0.08648282584014055,""state"":[1,1,0]},{""action"":3,""eligibility"":0.1300493621656249,""state"":[1,1,0]},{""action"":3,""eligibility"":0.1955629506249999,""state"":[2,1,0]},{""action"":0,""eligibility"":1.0,""state"":[2,2,0]}]","[{""action"":0,""eligibility"":0.05751107918369346,""state"":[1,1,0]},{""action"":3,""eligibility"":0.08648282584014055,""state"":[1,1,0]},{""action"":3,""eligibility"":0.1300493621656249,""state"":[2,1,0]},{""action"":0,""eligibility"":0.6649999999999999,""state"":[2,2,0]}]",0.6649999999999999,0.7
0,8,"[2, 1, 0]",2,-4.7625,"[2, 1, 0]",1,0.0,0.0,-4.7625,5,1.9390432671894589,1.2894637726809899,"[{""action"":0,""eligibility"":0.05751107918369346,""state"":[1,1,0]},{""action"":3,""eligibility"":0.08648282584014055,""state"":[1,1,0]},{""action"":2,""eligibility"":1.0,""state"":[2,1,0]},{""action"":3,""eligibility"":0.1300493621656249,""state"":[2,1,0]},{""action"":0,""eligibility"":0.6649999999999999,""state"":[2,2,0]}]","[{""action"":0,""eligibility"":0.03824486765715615,""state"":[1,1,0]},{""action"":3,""eligibility"":0.05751107918369346,""state"":[1,1,0]},{""action"":2,""eligibility"":0.6649999999999999,""state"":[2,1,0]},{""action"":3,""eligibility"":0.08648282584014055,""state"":[2,1,0]},{""action"":0,""eligibility"":0.4422249999999999,""state"":[2,2,0]}]",0.6649999999999999,0.7
0,9,"[2, 1, 0]",1,-1.0,"[3, 1, 0]",3,0.0,0.0,-1.0,6,2.2894637726809903,1.5224934088328583,"[{""action"":0,""eligibility"":0.03824486765715615,""state"":[1,1,0]},{""action"":3,""eligibility"":0.05751107918369346,""state"":[1,1,0]},{""action"":1,""eligibility"":1.0,""state"":[2,1,0]},{""action"":2,""eligibility"":0.6649999999999999,""state"":[2,1,0]},{""action"":3,""eligibility"":0.08648282584014055,""state"":[2,1,0]},{""action"":0,""eligibility"":0.4422249999999999,""state"":[2,2,0]}]","[{""action"":0,""eligibility"":0.025432836992008837,""state"":[1,1,0]},{""action"":3,""eligibility"":0.03824486765715615,""state"":[1,1,0]},{""action"":1,""eligibility"":0.6649999999999999,""state"":[2,1,0]},{""action"":2,""eligibility"":0.4422249999999999,""state"":[2,1,0]},{""action"":3,""eligibility"":0.05751107918369346,""state"":[2,1,0]},{""action"":0,""eligibility"":0.2940796249999999,""state"":[2,2,0]}]",0.6649999999999999,0.7
0,10,"[3, 1, 0]",3,-4.75,"[3, 1, 0]",0,0.0,0.0,-4.75,7,2.522493408832858,1.6774581168738505,"[{""action"":0,""eligibility"":0.025432836992008837,""state"":[1,1,0]},{""action"":3,""eligibility"":0.03824486765715615,""state"":[1,1,0]},{""action"":1,""eligibility"":0.6649999999999999,""state"":[2,1,0]},{""action"":2,""eligibility"":0.4422249999999999,""state"":[2,1,0]},{""action"":3,""eligibility"":0.05751107918369346,""state"":[2,1,0]},{""action"":0,""eligibility"":0.2940796249999999,""state"":[2,2,0]},{""action"":3,""eligibility"":1.0,""state"":[3,1,0]}]","[{""action"":0,""eligibility"":0.016912836599685874,""state"":[1,1,0]},{""action"":3,""eligibility"":0.025432836992008837,""state"":[1,1,0]},{""action"":1,""eligibility"":0.4422249999999999,""state"":[2,1,0]},{""action"":2,""eligibility"":0.2940796249999999,""state"":[2,1,0]},{""action"":3,""eligibility"":0.03824486765715615,""state"":[2,1,0]},{""action"":0,""eligibility"":0.1955629506249999,""state"":[2,2,0]},{""action"":3,""eligibility"":0.6649999999999999,""state"":[3,1,0]}]",0.6649999999999999,0.7
